Cluster ID,Confidence Score,,org_string,scheme,id,legalname,status,org_type,company_or_not,obtained_id,address,incorporation_date,id_mismatch
0,0.97522885,0,001 INSPIRATION LIMITED,GB-COH,6589669,001 INSPIRATION LIMITED,active,Private Limited Company,Company,6589669,"12  Waterside Close, Bordesley Green, Birmingham, West Midlands, B9 4QJ",2008-05-12,False
0,0.97522885,1,001 INSPIRATION LTD,GB-COH,6589669,001 INSPIRATION LIMITED,active,Private Limited Company,Company,6589669,"12  Waterside Close, Bordesley Green, Birmingham, West Midlands, B9 4QJ",2008-05-12,False
